potential,value_eur,wage_eur,movement_reactions,mentality_composure
86.0,44000000.0,95000.0,88.0,89.0
86.0,47000000.0,200000.0,80.0,80.0
86.0,65000000.0,180000.0,84.0,88.0
86.0,45000000.0,200000.0,86.0,90.0
86.0,53500000.0,64000.0,80.0,85.0
87.0,52000000.0,88000.0,83.0,40.0
86.0,65500000.0,125000.0,79.0,81.0
86.0,55500000.0,105000.0,83.0,82.0
88.0,68500000.0,180000.0,84.0,83.0
86.0,65500000.0,220000.0,81.0,84.0
86.0,68000000.0,73000.0,89.0,78.0
86.0,33000000.0,180000.0,91.0,88.0
88.0,73500000.0,165000.0,86.0,84.0
87.0,71500000.0,185000.0,85.0,85.0
89.0,77000000.0,185000.0,87.0,84.0
87.0,81000000.0,120000.0,85.0,78.0
87.0,80000000.0,200000.0,84.0,87.0
89.0,88000000.0,95000.0,86.0,83.0
89.0,81000000.0,175000.0,80.0,83.0
88.0,74000000.0,150000.0,86.0,87.0
85.0,33500000.0,51000.0,86.0,85.0
85.0,9000000.0,115000.0,82.0,67.0
85.0,9500000.0,105000.0,82.0,86.0
85.0,22000000.0,44000.0,85.0,91.0
85.0,26500000.0,40000.0,82.0,57.0
85.0,26000000.0,190000.0,90.0,85.0
85.0,52000000.0,240000.0,79.0,89.0
85.0,17500000.0,110000.0,82.0,86.0
85.0,28500000.0,87000.0,81.0,45.0
85.0,51500000.0,185000.0,86.0,87.0
85.0,43000000.0,95000.0,86.0,85.0
85.0,39000000.0,170000.0,85.0,75.0
85.0,43500000.0,145000.0,86.0,87.0
85.0,52500000.0,90000.0,88.0,86.0
85.0,53000000.0,220000.0,89.0,90.0
85.0,45000000.0,145000.0,85.0,85.0
85.0,54000000.0,185000.0,86.0,88.0
86.0,63000000.0,220000.0,83.0,80.0
85.0,47500000.0,210000.0,83.0,81.0
85.0,52500000.0,170000.0,82.0,81.0
86.0,64500000.0,110000.0,86.0,80.0
87.0,66000000.0,100000.0,83.0,84.0
88.0,66500000.0,120000.0,88.0,80.0
89.0,77500000.0,57000.0,81.0,83.0
89.0,78000000.0,145000.0,89.0,83.0
89.0,77500000.0,150000.0,84.0,80.0
88.0,69500000.0,100000.0,84.0,80.0
90.0,75000000.0,81000.0,84.0,82.0
84.0,14500000.0,51000.0,83.0,90.0
84.0,13000000.0,30000.0,84.0,82.0
84.0,13500000.0,175000.0,85.0,87.0
84.0,20500000.0,105000.0,80.0,81.0
84.0,40500000.0,115000.0,86.0,86.0
84.0,29500000.0,140000.0,85.0,82.0
84.0,21000000.0,43000.0,83.0,78.0
84.0,36500000.0,74000.0,81.0,77.0
84.0,27000000.0,46000.0,84.0,85.0
84.0,28000000.0,120000.0,83.0,63.0
84.0,35500000.0,195000.0,88.0,85.0
84.0,42500000.0,95000.0,74.0,78.0
84.0,33500000.0,32000.0,83.0,86.0
84.0,41500000.0,88000.0,86.0,85.0
84.0,40500000.0,110000.0,83.0,81.0
84.0,27000000.0,84000.0,80.0,80.0
85.0,33500000.0,81000.0,80.0,60.0
86.0,42500000.0,155000.0,84.0,85.0
84.0,34500000.0,74000.0,83.0,80.0
85.0,48000000.0,110000.0,86.0,80.0
86.0,48500000.0,140000.0,82.0,83.0
85.0,50500000.0,180000.0,79.0,88.0
85.0,42500000.0,45000.0,86.0,71.0
84.0,27500000.0,74000.0,81.0,75.0
84.0,45000000.0,81000.0,80.0,79.0
84.0,42500000.0,52000.0,82.0,80.0
84.0,42500000.0,170000.0,84.0,79.0
84.0,40500000.0,79000.0,86.0,86.0
84.0,40500000.0,130000.0,83.0,81.0
87.0,56500000.0,155000.0,87.0,79.0
89.0,49500000.0,45000.0,82.0,65.0
84.0,37000000.0,130000.0,76.0,82.0
87.0,57000000.0,125000.0,83.0,86.0
88.0,52000000.0,74000.0,78.0,76.0
84.0,45000000.0,42000.0,79.0,89.0
87.0,56000000.0,105000.0,79.0,80.0
89.0,63500000.0,120000.0,89.0,85.0
84.0,37000000.0,45000.0,83.0,87.0
85.0,51000000.0,110000.0,86.0,84.0
86.0,49500000.0,51000.0,81.0,84.0
90.0,62500000.0,51000.0,84.0,80.0
92.0,94500000.0,130000.0,83.0,84.0
92.0,94500000.0,125000.0,83.0,82.0
83.0,7000000.0,100000.0,86.0,81.0
83.0,29000000.0,17000.0,83.0,83.0
83.0,24000000.0,72000.0,85.0,90.0
83.0,18000000.0,37000.0,80.0,64.0
83.0,23500000.0,54000.0,79.0,69.0
83.0,15500000.0,105000.0,80.0,86.0
83.0,23500000.0,81000.0,85.0,84.0
83.0,975000.0,3000.0,85.0,86.0
83.0,25000000.0,125000.0,86.0,78.0
83.0,28500000.0,61000.0,82.0,81.0
83.0,36500000.0,44000.0,80.0,82.0
83.0,34500000.0,38000.0,83.0,80.0
83.0,19000000.0,55000.0,82.0,48.0
83.0,31500000.0,95000.0,80.0,80.0
84.0,28000000.0,87000.0,78.0,62.0
83.0,30000000.0,80000.0,81.0,83.0
83.0,29500000.0,82000.0,82.0,82.0
83.0,19000000.0,95000.0,82.0,74.0
83.0,30500000.0,130000.0,84.0,80.0
83.0,30000000.0,21000.0,77.0,79.0
83.0,17500000.0,75000.0,85.0,85.0
83.0,30500000.0,100000.0,84.0,85.0
83.0,37000000.0,83000.0,85.0,86.0
83.0,37000000.0,84000.0,80.0,79.0
83.0,37000000.0,120000.0,84.0,83.0
83.0,33000000.0,72000.0,82.0,69.0
86.0,41000000.0,140000.0,82.0,80.0
83.0,25000000.0,45000.0,78.0,63.0
83.0,35500000.0,120000.0,82.0,81.0
85.0,33000000.0,83000.0,80.0,65.0
84.0,34500000.0,130000.0,82.0,72.0
83.0,39500000.0,46000.0,85.0,82.0
84.0,41500000.0,135000.0,81.0,81.0
83.0,36500000.0,115000.0,82.0,86.0
86.0,43500000.0,48000.0,84.0,76.0
86.0,48000000.0,71000.0,81.0,79.0
86.0,43500000.0,105000.0,82.0,82.0
86.0,48000000.0,80000.0,84.0,76.0
83.0,35500000.0,77000.0,82.0,82.0
83.0,35500000.0,59000.0,84.0,83.0
86.0,46000000.0,77000.0,82.0,81.0
86.0,44500000.0,85000.0,85.0,76.0
86.0,48000000.0,190000.0,78.0,82.0
83.0,37000000.0,95000.0,85.0,83.0
83.0,36000000.0,65000.0,86.0,77.0
87.0,50000000.0,47000.0,84.0,80.0
87.0,45500000.0,90000.0,80.0,80.0
86.0,43500000.0,170000.0,82.0,78.0
87.0,48500000.0,115000.0,83.0,76.0
83.0,35500000.0,49000.0,84.0,81.0
85.0,47000000.0,90000.0,84.0,88.0
87.0,52500000.0,150000.0,86.0,79.0
88.0,55000000.0,165000.0,78.0,80.0
89.0,58500000.0,120000.0,84.0,84.0
85.0,30000000.0,105000.0,80.0,57.0
91.0,80500000.0,74000.0,83.0,78.0
89.0,58000000.0,160000.0,84.0,82.0
89.0,53000000.0,33000.0,85.0,82.0
91.0,82000000.0,61000.0,83.0,84.0
82.0,5500000.0,14000.0,81.0,80.0
82.0,8000000.0,30000.0,82.0,75.0
82.0,3400000.0,43000.0,75.0,63.0
82.0,5000000.0,20000.0,78.0,62.0
82.0,18500000.0,39000.0,80.0,80.0
82.0,25000000.0,170000.0,78.0,85.0
82.0,10000000.0,51000.0,76.0,66.0
82.0,15000000.0,46000.0,82.0,80.0
82.0,25000000.0,155000.0,83.0,84.0
82.0,22000000.0,35000.0,80.0,78.0
82.0,24000000.0,41000.0,84.0,83.0
82.0,30000000.0,38000.0,78.0,79.0
82.0,20500000.0,31000.0,82.0,62.0
82.0,30000000.0,165000.0,80.0,79.0
82.0,29500000.0,120000.0,79.0,87.0
82.0,21000000.0,23000.0,83.0,84.0
82.0,30000000.0,29000.0,82.0,87.0
84.0,26000000.0,75000.0,78.0,64.0
82.0,30500000.0,22000.0,84.0,87.0
82.0,30000000.0,110000.0,82.0,80.0
82.0,21500000.0,88000.0,81.0,79.0
82.0,26500000.0,57000.0,80.0,76.0
82.0,16000000.0,37000.0,82.0,52.0
82.0,16000000.0,115000.0,78.0,64.0
82.0,30000000.0,175000.0,75.0,83.0
82.0,31000000.0,85000.0,76.0,80.0
82.0,30000000.0,70000.0,84.0,82.0
83.0,23000000.0,60000.0,82.0,65.0
82.0,30500000.0,43000.0,80.0,83.0
82.0,25000000.0,44000.0,81.0,69.0
83.0,29500000.0,66000.0,79.0,82.0
82.0,32500000.0,42000.0,78.0,77.0
82.0,30500000.0,75000.0,81.0,78.0
82.0,27500000.0,90000.0,81.0,78.0
82.0,30000000.0,51000.0,81.0,77.0
83.0,35000000.0,115000.0,78.0,78.0
83.0,35000000.0,72000.0,81.0,79.0
85.0,39500000.0,68000.0,80.0,81.0
82.0,25500000.0,59000.0,82.0,81.0
82.0,20500000.0,29000.0,80.0,57.0
85.0,37000000.0,18000.0,83.0,83.0
83.0,31500000.0,49000.0,80.0,76.0
82.0,33500000.0,51000.0,77.0,78.0
82.0,27500000.0,24000.0,81.0,77.0
87.0,35000000.0,48000.0,77.0,63.0
87.0,40500000.0,78000.0,79.0,75.0
82.0,27500000.0,130000.0,81.0,77.0
83.0,35500000.0,61000.0,78.0,77.0
83.0,35000000.0,68000.0,81.0,80.0
82.0,30500000.0,22000.0,83.0,81.0
84.0,30500000.0,37000.0,84.0,75.0
82.0,32500000.0,54000.0,85.0,75.0
86.0,37500000.0,145000.0,81.0,82.0
85.0,41500000.0,100000.0,76.0,84.0
87.0,42000000.0,74000.0,83.0,77.0
88.0,49000000.0,89000.0,74.0,76.0
87.0,46000000.0,89000.0,80.0,84.0
87.0,46000000.0,120000.0,84.0,83.0
88.0,43500000.0,100000.0,82.0,74.0
86.0,42000000.0,77000.0,82.0,77.0
88.0,49000000.0,120000.0,78.0,80.0
87.0,41000000.0,18000.0,77.0,82.0
90.0,64000000.0,70000.0,77.0,71.0
85.0,35500000.0,62000.0,82.0,79.0
85.0,41500000.0,75000.0,80.0,75.0
86.0,40500000.0,100000.0,80.0,74.0
82.0,10000000.0,20000.0,82.0,67.0
82.0,25500000.0,41000.0,85.0,71.0
86.0,34500000.0,24000.0,72.0,42.0
87.0,46500000.0,100000.0,82.0,81.0
87.0,41500000.0,51000.0,81.0,78.0
84.0,35000000.0,100000.0,80.0,73.0
87.0,46000000.0,89000.0,82.0,78.0
86.0,45000000.0,37000.0,81.0,77.0
87.0,43000000.0,69000.0,77.0,80.0
89.0,57000000.0,59000.0,81.0,74.0
87.0,46000000.0,36000.0,82.0,78.0
86.0,44000000.0,37000.0,80.0,74.0
87.0,46000000.0,95000.0,81.0,87.0
85.0,36000000.0,81000.0,81.0,78.0
89.0,56500000.0,130000.0,83.0,74.0
90.0,68500000.0,120000.0,81.0,82.0
89.0,56500000.0,35000.0,80.0,73.0
87.0,35000000.0,1000.0,80.0,64.0
87.0,46000000.0,78000.0,83.0,82.0
81.0,8500000.0,23000.0,84.0,81.0
81.0,11000000.0,39000.0,87.0,83.0
81.0,12000000.0,14000.0,81.0,84.0
81.0,11000000.0,50000.0,78.0,81.0
81.0,21000000.0,63000.0,81.0,77.0
81.0,4400000.0,32000.0,75.0,63.0
81.0,2900000.0,24000.0,80.0,62.0
81.0,16500000.0,14000.0,80.0,84.0
81.0,4600000.0,30000.0,83.0,79.0
81.0,8500000.0,18000.0,81.0,81.0
81.0,9000000.0,64000.0,80.0,86.0
81.0,4400000.0,14000.0,76.0,63.0
81.0,20500000.0,105000.0,79.0,80.0
81.0,12000000.0,105000.0,81.0,80.0
81.0,16500000.0,45000.0,84.0,87.0
81.0,21000000.0,48000.0,78.0,79.0
81.0,16000000.0,2000.0,75.0,84.0
81.0,21500000.0,43000.0,79.0,78.0
81.0,12500000.0,18000.0,79.0,79.0
81.0,22000000.0,34000.0,79.0,78.0
81.0,17000000.0,28000.0,80.0,55.0
81.0,25500000.0,49000.0,78.0,79.0
81.0,24500000.0,83000.0,82.0,84.0
81.0,26500000.0,90000.0,86.0,85.0
81.0,21000000.0,19000.0,83.0,84.0
81.0,21500000.0,15000.0,77.0,77.0
81.0,25500000.0,105000.0,83.0,87.0
81.0,22500000.0,83000.0,80.0,78.0
81.0,22500000.0,140000.0,78.0,76.0
81.0,13000000.0,33000.0,80.0,61.0
81.0,25500000.0,26000.0,77.0,80.0
81.0,28000000.0,45000.0,85.0,84.0
81.0,17500000.0,140000.0,78.0,75.0
81.0,22000000.0,85000.0,75.0,78.0
81.0,26000000.0,105000.0,79.0,81.0
81.0,8500000.0,14000.0,81.0,64.0
82.0,24500000.0,46000.0,79.0,78.0
81.0,22000000.0,58000.0,77.0,81.0
81.0,13000000.0,2000.0,78.0,60.0
84.0,30000000.0,75000.0,78.0,69.0
81.0,21000000.0,33000.0,80.0,69.0
82.0,24500000.0,79000.0,75.0,72.0
82.0,30000000.0,81000.0,76.0,78.0
84.0,33500000.0,69000.0,75.0,77.0
83.0,23500000.0,32000.0,75.0,59.0
81.0,21500000.0,50000.0,74.0,81.0
82.0,26500000.0,66000.0,83.0,79.0
83.0,28000000.0,81000.0,78.0,84.0
81.0,28000000.0,45000.0,79.0,78.0
81.0,25500000.0,87000.0,83.0,79.0
82.0,30000000.0,61000.0,81.0,81.0
81.0,25000000.0,170000.0,81.0,75.0
81.0,22500000.0,120000.0,86.0,79.0
82.0,30000000.0,87000.0,82.0,80.0
84.0,25500000.0,24000.0,71.0,49.0
82.0,29500000.0,74000.0,79.0,75.0
82.0,30500000.0,19000.0,82.0,81.0
81.0,26000000.0,34000.0,75.0,79.0
84.0,34500000.0,130000.0,79.0,78.0
83.0,23500000.0,14000.0,82.0,56.0
85.0,36000000.0,64000.0,79.0,81.0
83.0,23500000.0,44000.0,71.0,67.0
82.0,31000000.0,76000.0,80.0,73.0
82.0,30000000.0,39000.0,82.0,81.0
81.0,27500000.0,74000.0,81.0,79.0
81.0,16500000.0,41000.0,80.0,84.0
82.0,24000000.0,36000.0,82.0,73.0
81.0,25000000.0,55000.0,79.0,77.0
81.0,13000000.0,40000.0,75.0,59.0
86.0,38500000.0,110000.0,81.0,84.0
85.0,37500000.0,90000.0,81.0,76.0
82.0,31000000.0,77000.0,81.0,75.0
82.0,20500000.0,30000.0,80.0,58.0
85.0,32500000.0,82000.0,76.0,78.0
86.0,39000000.0,39000.0,79.0,78.0
85.0,33500000.0,65000.0,79.0,79.0
82.0,30500000.0,95000.0,77.0,77.0
85.0,34500000.0,65000.0,77.0,73.0
85.0,35500000.0,95000.0,82.0,80.0
84.0,26000000.0,31000.0,74.0,55.0
83.0,28000000.0,33000.0,80.0,78.0
86.0,38000000.0,61000.0,79.0,82.0
81.0,25000000.0,41000.0,78.0,70.0
81.0,22500000.0,24000.0,82.0,74.0
81.0,27000000.0,26000.0,80.0,81.0
81.0,25500000.0,28000.0,84.0,79.0
81.0,27500000.0,31000.0,80.0,82.0
81.0,25500000.0,56000.0,82.0,78.0
81.0,26500000.0,68000.0,77.0,75.0
86.0,39000000.0,72000.0,78.0,79.0
86.0,38500000.0,65000.0,82.0,84.0
88.0,51500000.0,39000.0,83.0,76.0
84.0,35000000.0,95000.0,82.0,75.0
86.0,38500000.0,65000.0,82.0,82.0
81.0,25000000.0,64000.0,78.0,76.0
86.0,37000000.0,76000.0,75.0,72.0
87.0,41500000.0,63000.0,82.0,74.0
88.0,51500000.0,19000.0,84.0,86.0
88.0,52500000.0,52000.0,77.0,75.0
84.0,32500000.0,79000.0,77.0,74.0
88.0,48500000.0,49000.0,77.0,80.0
89.0,58000000.0,72000.0,80.0,83.0
86.0,36500000.0,49000.0,80.0,79.0
91.0,54000000.0,51000.0,81.0,84.0
80.0,2300000.0,18000.0,78.0,70.0
80.0,2300000.0,27000.0,74.0,62.0
80.0,2300000.0,26000.0,71.0,67.0
80.0,9500000.0,88000.0,75.0,89.0
80.0,10000000.0,95000.0,82.0,81.0
80.0,10500000.0,36000.0,83.0,85.0
80.0,13000000.0,35000.0,77.0,84.0
80.0,14500000.0,38000.0,80.0,77.0
80.0,7000000.0,24000.0,74.0,61.0
80.0,11000000.0,135000.0,77.0,79.0
80.0,10000000.0,51000.0,75.0,74.0
80.0,7000000.0,19000.0,77.0,82.0
80.0,6500000.0,26000.0,82.0,76.0
80.0,13000000.0,29000.0,80.0,83.0
80.0,5500000.0,27000.0,74.0,78.0
80.0,2300000.0,32000.0,78.0,60.0
80.0,10000000.0,70000.0,77.0,75.0
80.0,17000000.0,105000.0,79.0,75.0
80.0,10000000.0,61000.0,70.0,79.0
80.0,20000000.0,81000.0,76.0,80.0
80.0,17500000.0,51000.0,83.0,86.0
80.0,14000000.0,46000.0,78.0,58.0
80.0,20000000.0,39000.0,81.0,78.0
80.0,3600000.0,48000.0,74.0,62.0
80.0,20500000.0,23000.0,77.0,84.0
80.0,20000000.0,23000.0,80.0,78.0
80.0,6000000.0,15000.0,80.0,80.0
80.0,16500000.0,12000.0,80.0,81.0
80.0,975000.0,3000.0,80.0,80.0
82.0,18000000.0,64000.0,77.0,65.0
80.0,20500000.0,19000.0,79.0,81.0
80.0,17500000.0,28000.0,82.0,76.0
80.0,20500000.0,95000.0,79.0,76.0
80.0,20500000.0,30000.0,81.0,75.0
80.0,14000000.0,53000.0,81.0,73.0
80.0,21000000.0,46000.0,85.0,81.0
80.0,15500000.0,1000.0,81.0,79.0
81.0,19500000.0,37000.0,79.0,78.0
80.0,21000000.0,86000.0,77.0,82.0
80.0,18000000.0,34000.0,76.0,78.0
80.0,20500000.0,58000.0,83.0,83.0
81.0,24500000.0,83000.0,78.0,82.0
80.0,18000000.0,66000.0,78.0,75.0
80.0,18500000.0,56000.0,74.0,67.0
80.0,20500000.0,13000.0,81.0,83.0
80.0,21000000.0,2000.0,77.0,80.0
80.0,13500000.0,26000.0,81.0,75.0
80.0,21000000.0,64000.0,82.0,76.0
80.0,19500000.0,125000.0,78.0,74.0
80.0,20500000.0,35000.0,77.0,83.0
81.0,24500000.0,23000.0,80.0,81.0
80.0,14500000.0,17000.0,74.0,69.0
81.0,16000000.0,43000.0,73.0,44.0
81.0,20000000.0,84000.0,77.0,72.0
80.0,20500000.0,38000.0,83.0,80.0
80.0,21500000.0,14000.0,79.0,75.0
80.0,20500000.0,68000.0,82.0,79.0
81.0,24500000.0,59000.0,78.0,80.0
82.0,17500000.0,25000.0,77.0,62.0
81.0,22000000.0,81000.0,78.0,74.0
82.0,26500000.0,90000.0,80.0,85.0
83.0,21000000.0,48000.0,78.0,61.0
81.0,22000000.0,22000.0,79.0,76.0
80.0,21000000.0,19000.0,75.0,82.0
85.0,28000000.0,95000.0,79.0,76.0
80.0,3600000.0,17000.0,77.0,55.0
82.0,18000000.0,32000.0,75.0,62.0
80.0,14500000.0,31000.0,76.0,61.0
80.0,18500000.0,32000.0,74.0,78.0
80.0,20500000.0,63000.0,76.0,72.0
81.0,24500000.0,78000.0,82.0,75.0
80.0,20500000.0,26000.0,77.0,76.0
83.0,24500000.0,64000.0,80.0,79.0
83.0,27500000.0,110000.0,80.0,81.0
80.0,16500000.0,44000.0,74.0,62.0
82.0,23000000.0,105000.0,83.0,83.0
84.0,26500000.0,67000.0,81.0,68.0
83.0,28000000.0,17000.0,79.0,79.0
80.0,19000000.0,34000.0,77.0,75.0
80.0,23000000.0,79000.0,80.0,72.0
84.0,26500000.0,77000.0,77.0,78.0
80.0,21500000.0,34000.0,76.0,80.0
81.0,24500000.0,33000.0,77.0,77.0
83.0,28000000.0,42000.0,78.0,78.0
81.0,25000000.0,32000.0,79.0,73.0
84.0,30000000.0,82000.0,78.0,76.0
86.0,31000000.0,69000.0,76.0,74.0
84.0,30000000.0,41000.0,81.0,79.0
81.0,16000000.0,26000.0,76.0,59.0
85.0,29500000.0,95000.0,78.0,80.0
81.0,22000000.0,81000.0,79.0,79.0
83.0,25000000.0,54000.0,81.0,76.0
86.0,30500000.0,28000.0,82.0,83.0
84.0,26500000.0,52000.0,80.0,72.0
83.0,27500000.0,95000.0,73.0,78.0
84.0,30000000.0,41000.0,84.0,78.0
80.0,21000000.0,33000.0,81.0,54.0
80.0,17000000.0,33000.0,77.0,41.0
80.0,25000000.0,23000.0,80.0,77.0
80.0,10000000.0,32000.0,74.0,72.0
86.0,33000000.0,38000.0,80.0,83.0
85.0,33000000.0,59000.0,81.0,76.0
83.0,25000000.0,88000.0,77.0,76.0
87.0,43000000.0,66000.0,78.0,72.0
84.0,27500000.0,53000.0,81.0,74.0
87.0,36000000.0,70000.0,79.0,56.0
85.0,29500000.0,17000.0,77.0,76.0
82.0,17500000.0,14000.0,80.0,39.0
86.0,31000000.0,30000.0,73.0,81.0
84.0,27500000.0,90000.0,79.0,78.0
89.0,44500000.0,77000.0,78.0,77.0
90.0,46500000.0,120000.0,75.0,75.0
85.0,32000000.0,40000.0,80.0,82.0
85.0,32000000.0,59000.0,78.0,76.0
84.0,27000000.0,26000.0,76.0,62.0
86.0,33500000.0,16000.0,79.0,81.0
86.0,33500000.0,66000.0,78.0,77.0
87.0,40500000.0,80000.0,78.0,78.0
86.0,33500000.0,1000.0,78.0,76.0
80.0,19000000.0,73000.0,78.0,72.0
88.0,45500000.0,50000.0,76.0,73.0
79.0,5500000.0,10000.0,71.0,89.0
79.0,7000000.0,76000.0,84.0,84.0
79.0,6000000.0,41000.0,69.0,81.0
79.0,5500000.0,24000.0,76.0,58.0
79.0,7500000.0,38000.0,80.0,81.0
79.0,11000000.0,21000.0,71.0,90.0
79.0,6000000.0,11000.0,78.0,77.0
79.0,8000000.0,25000.0,75.0,73.0
79.0,8500000.0,48000.0,73.0,57.0
79.0,14000000.0,55000.0,77.0,83.0
79.0,1900000.0,26000.0,78.0,60.0
79.0,8500000.0,48000.0,81.0,79.0
79.0,14500000.0,83000.0,77.0,80.0
79.0,8500000.0,26000.0,72.0,65.0
79.0,12500000.0,2000.0,78.0,80.0
79.0,11500000.0,49000.0,75.0,84.0
79.0,11000000.0,24000.0,81.0,85.0
79.0,8500000.0,34000.0,75.0,81.0
79.0,12500000.0,66000.0,78.0,72.0
79.0,12000000.0,39000.0,78.0,74.0
79.0,17000000.0,34000.0,76.0,76.0
79.0,12500000.0,34000.0,81.0,79.0
79.0,15000000.0,79000.0,80.0,70.0
79.0,11500000.0,16000.0,70.0,44.0
79.0,17500000.0,64000.0,75.0,73.0
79.0,11500000.0,100000.0,80.0,83.0
79.0,14500000.0,78000.0,80.0,82.0
79.0,17000000.0,32000.0,76.0,78.0
79.0,17500000.0,48000.0,77.0,77.0
79.0,15000000.0,32000.0,75.0,76.0
79.0,15000000.0,95000.0,80.0,75.0
79.0,15000000.0,34000.0,76.0,69.0
79.0,6000000.0,18000.0,85.0,86.0
79.0,15000000.0,30000.0,75.0,80.0
79.0,17000000.0,75000.0,77.0,79.0
79.0,8500000.0,2000.0,76.0,74.0
79.0,5500000.0,23000.0,79.0,31.0
79.0,17500000.0,53000.0,79.0,79.0
79.0,5500000.0,26000.0,69.0,65.0
79.0,17000000.0,83000.0,79.0,80.0
79.0,18500000.0,100000.0,78.0,77.0
79.0,11500000.0,85000.0,78.0,73.0
79.0,14000000.0,28000.0,80.0,76.0
79.0,15500000.0,80000.0,73.0,67.0
79.0,17000000.0,30000.0,73.0,71.0
80.0,13000000.0,41000.0,77.0,63.0
79.0,17500000.0,58000.0,80.0,84.0
81.0,17500000.0,80000.0,80.0,80.0
80.0,17500000.0,81000.0,79.0,74.0
79.0,18500000.0,22000.0,75.0,75.0
80.0,20000000.0,24000.0,76.0,82.0
79.0,14500000.0,76000.0,74.0,80.0
79.0,14500000.0,60000.0,77.0,80.0
79.0,12000000.0,40000.0,76.0,67.0
79.0,17000000.0,46000.0,75.0,76.0
79.0,17500000.0,21000.0,82.0,82.0
79.0,14500000.0,31000.0,82.0,77.0
80.0,13500000.0,20000.0,75.0,56.0
79.0,15500000.0,53000.0,80.0,76.0
79.0,17000000.0,13000.0,82.0,79.0
80.0,19000000.0,105000.0,77.0,74.0
79.0,16000000.0,85000.0,78.0,72.0
79.0,12500000.0,1000.0,78.0,81.0
79.0,18000000.0,38000.0,82.0,79.0
79.0,17000000.0,39000.0,79.0,76.0
83.0,19000000.0,76000.0,68.0,63.0
79.0,17500000.0,115000.0,81.0,77.0
81.0,15000000.0,15000.0,75.0,46.0
79.0,17500000.0,87000.0,79.0,74.0
81.0,17500000.0,51000.0,80.0,75.0
79.0,16000000.0,32000.0,77.0,71.0
82.0,23000000.0,26000.0,77.0,83.0
79.0,17500000.0,35000.0,83.0,81.0
79.0,17500000.0,17000.0,69.0,83.0
82.0,21000000.0,59000.0,73.0,71.0
82.0,20500000.0,16000.0,79.0,70.0
79.0,18500000.0,33000.0,73.0,67.0
79.0,15500000.0,35000.0,78.0,72.0
79.0,18500000.0,55000.0,80.0,81.0
79.0,17500000.0,35000.0,78.0,70.0
80.0,20500000.0,23000.0,74.0,74.0
79.0,18500000.0,77000.0,70.0,78.0
81.0,15000000.0,65000.0,76.0,32.0
80.0,21000000.0,20000.0,82.0,73.0
79.0,17000000.0,17000.0,83.0,76.0
80.0,16000000.0,47000.0,79.0,70.0
79.0,15500000.0,51000.0,73.0,73.0
84.0,26500000.0,41000.0,74.0,80.0
79.0,18000000.0,19000.0,80.0,78.0
82.0,23000000.0,56000.0,79.0,71.0
79.0,15500000.0,49000.0,74.0,72.0
81.0,19500000.0,95000.0,75.0,77.0
80.0,21000000.0,33000.0,78.0,80.0
81.0,19000000.0,76000.0,74.0,75.0
83.0,22000000.0,25000.0,73.0,72.0
81.0,19500000.0,77000.0,77.0,75.0
83.0,22500000.0,26000.0,77.0,65.0
